Country Name,Country Code,Indicator Name,2021 (person)
Cisjordanie et Gaza,PSE,"Population, total",4922749
Petits états insulaires du Pacifique,PSS,"Population, total",2602173
de Post-dividende démographique,PST,"Population, total",1116651310
Polynésie française,PYF,"Population, total",304032
Qatar,QAT,"Population, total",2688235
Roumanie,ROU,"Population, total",19122059
Fédération de Russie,RUS,"Population, total",144746762
Rwanda,RWA,"Population, total",13461888
Asie du Sud,SAS,"Population, total",1901911604
Arabie saoudite,SAU,"Population, total",35950396
Soudan,SDN,"Population, total",45657202
Sénégal,SEN,"Population, total",16876720
Singapour,SGP,"Population, total",5453566
Îles Salomon,SLB,"Population, total",707851
Sierra Leone,SLE,"Population, total",8420641
El Salvador,SLV,"Population, total",6314167
Saint-Marin,SMR,"Population, total",33745
Somalie,SOM,"Population, total",17065581
Serbie,SRB,"Population, total",6834326
Afrique subsaharienne (hors revenu élevé),SSA,"Population, total",1181063755
Soudan du Sud,SSD,"Population, total",10748272
Afrique subsaharienne,SSF,"Population, total",1181163013
Petits états,SST,"Population, total",19674424
Sao Tomé-et-Principe,STP,"Population, total",223107
Suriname,SUR,"Population, total",612985
République slovaque,SVK,"Population, total",5447247
Slovénie,SVN,"Population, total",2108079
Suède,SWE,"Population, total",10415811
Eswatini,SWZ,"Population, total",1192271
Sint Maarten (Dutch part),SXM,"Population, total",40708
Seychelles,SYC,"Population, total",99258
République arabe syrienne,SYR,"Population, total",21324367
Îles Turques-et-Caïques,TCA,"Population, total",45114
Tchad,TCD,"Population, total",17179740
Asie de l’Est et Pacifique (BIRD et IDA),TEA,"Population, total",2097669023
Europe et Asie centrale (BIRD et IDA),TEC,"Population, total",463035774
Togo,TGO,"Population, total",8644829
Thaïlande,THA,"Population, total",71601103
Tadjikistan,TJK,"Population, total",9750064
Turkménistan,TKM,"Population, total",6341855
Amérique latine et Caraïbes (BIRD et IDA),TLA,"Population, total",639469895
Timor-Leste,TLS,"Population, total",1320942
Afrique du Nord et Moyen-Orient (BIRD et IDA),TMN,"Population, total",413124452
Tonga,TON,"Population, total",106017
Asie du Sud (BIRD et IDA),TSA,"Population, total",1901911604
Afrique subsaharienne (BIRD et IDA),TSS,"Population, total",1181163013
Trinité-et-Tobago,TTO,"Population, total",1525663
Tunisie,TUN,"Population, total",12262946
Turquie,TUR,"Population, total",84147318
Tuvalu,TUV,"Population, total",11204
Tanzanie,TZA,"Population, total",63588334
Ouganda,UGA,"Population, total",45853778
Ukraine,UKR,"Population, total",43848986
"Revenu intermédiaire, tranche supérieure",UMC,"Population, total",2799436415
Uruguay,URY,"Population, total",3426260
États-Unis,USA,"Population, total",332048977
Ouzbékistan,UZB,"Population, total",34915100
Saint-Vincent-et-les Grenadines,VCT,"Population, total",104332
Venezuela,VEN,"Population, total",28199867
Îles Vierges britanniques,VGB,"Population, total",31122
Îles Vierges (EU),VIR,"Population, total",105870
Viet Nam,VNM,"Population, total",97468029
Vanuatu,VUT,"Population, total",319137
Monde,WLD,"Population, total",7888963821
Samoa,WSM,"Population, total",218764
Kosovo,XKX,"Population, total",1786038
"Yémen, Rép. du",YEM,"Population, total",32981641
Afrique du Sud,ZAF,"Population, total",59392255
Zambie,ZMB,"Population, total",19473125
Zimbabwe,ZWE,"Population, total",15993524
