num_pays,code_pays,pays,Dispo_proteine_g_personne_jour,person_2021,Taux_change_unit_devises_local_par_$US_Moy_period,Stabilité_Politique,PIB_par_habitant,lpi_AVG_2007_2022,Inflation_prix_à_la consommation_%_annuel,Governance_Performance,"Cost of animal source foods valeur 
(PPP dollar per person per day)",Corruption_Value,mediane_epi,Quantité_production_poulet_kg_par_pers
312,GLP,Guadeloupe,25.15,6085450.0,17.300494354999998,0.18,57721.568784999996,2.64,3.475403203,-0.045,1.0,-0.055,45.599999999999994,9.823431299246563
316,GUM,Guam,25.15,170534.0,17.300494354999998,0.88,30240.30399,2.64,3.475403203,0.64,1.0,1.28,45.599999999999994,350.5459321894754
320,GTM,Guatemala,18.9,17109746.0,7.734388333,-0.4,31947.7216,2.56,4.261051274,-0.78,0.9,-1.19,31.8,19.998485073945574
831,GGY,Guernesey,25.15,6085450.0,17.300494354999998,0.18,57721.568784999996,2.64,3.475403203,-0.045,1.0,-0.055,45.599999999999994,9.823431299246563
324,GIN,Guinée,8.2,13531906.0,17.300494354999998,-0.94,5434176.294,2.51,12.59728826,-0.95,1.1,-1.02,31.6,1.1082622063735885
226,GNQ,Guinée équatoriale,25.15,1634466.0,554.530675,-0.2,2988914.471,2.39,-0.09710076646,-1.18,1.1,-1.59,44.8,0.15925690714887922
624,GNB,Guinée-Bissau,6.7,2060721.0,554.530675,-0.28,427220.9508,2.28,2.242488796,-1.45,1.1,-1.32,40.2,1.4931181853341622
328,GUY,Guyana,32.4,804567.0,208.5,-0.14,2234476.433,2.33,5.032855746,-0.26,1.0,-0.19,38.5,60.83396410740187
254,GUF,Guyane,25.15,6085450.0,17.300494354999998,0.33,57721.568784999996,2.64,3.475403203,1.22,1.0,0.9,45.599999999999994,9.823431299246563
268,GEO,Géorgie,17.3,3708610.0,3.221558333,-0.43,13902.2437,2.46,9.566914338,0.62,1.0,0.66,41.3,6.741070104432658
239,SGS,Géorgie du Sud-et-les îles Sandwich du Sud,25.15,6085450.0,17.300494354999998,0.18,57721.568784999996,2.64,3.475403203,-0.045,1.0,-0.055,45.599999999999994,9.823431299246563
332,HTI,Haïti,10.5,11447569.0,89.22663651,-1.13,53662.83444,2.05,16.84152402,-2.22,1.0,-1.44,27.0,0.7646426940077845
340,HND,Honduras,17.4,10278345.0,24.01665532,-0.63,21986.21471,2.54,4.480879634,-0.82,1.1,-1.09,37.8,23.698435886322166
344,HKG,Hong Kong,72.7,7413100.0,7.77325,0.26,386879.0385,3.95,1.568758344,1.49,1.2,1.68,45.599999999999994,3.446722693609961
348,HUN,Hongrie,32.7,9709891.0,303.1408333,0.8,4335626.322,3.16,5.110965344,0.6,0.8,0.01,63.7,37.85933333340199
368,IRQ,Irak,8.5,43533592.0,1450.0,-2.38,4555972.521,2.15,6.041864891,-1.32,1.4,-1.27,39.5,3.3239159314030418
372,IRL,Irlande,40.7,5033164.0,17.300494354999998,0.84,81647.71901,3.75,2.340341134,1.47,0.5,1.62,72.8,29.359265861394544
352,ISL,Islande,42.6,372520.0,126.9888602,1.37,7183250.303,3.28,4.444239702,1.6,0.7,1.76,72.3,24.151723397401483
376,ISR,Israël,49.1,9371400.0,3.230198323,-1.12,158477.7408,3.36,1.510200477,1.25,0.7,0.83,65.8,57.759993170710885
380,ITA,Italie,31.3,59133173.0,17.300494354999998,0.55,28824.03757,3.7,1.873783258,0.33,0.8,0.52,71.0,18.069383829614555
388,JAM,Jamaïque,29.5,2827695.0,150.7901059,0.22,299913.5459,2.38,5.862782428,0.38,1.0,-0.05,48.2,44.2735160616686
392,JPN,Japon,25.4,125681593.0,109.7543238,1.02,4321447.748,4.03,-0.2333527794,1.36,1.0,1.54,74.69,18.64234645720953
832,JEY,Jersey,25.15,6085450.0,17.300494354999998,1.28,57721.568784999996,2.64,3.475403203,1.15,1.0,1.0,45.599999999999994,9.823431299246563
400,JOR,Jordanie,16.6,11148278.0,0.71,-0.32,2767.74884,2.69,1.346093772,0.2,0.9,0.03,53.4,22.11839353127003
