IDA seulement,IDX,,"2,257291667","2,246444444","2,364883721","2,367880449","2,321789761","2,366170213","2,521875","2,364883721"
Île de Man,IMN,,,,,,,,,#NUM!
Inde,IND,,"3,27","3,16","3,14","3,029319","3,387064","3,13","3,5","3,16"
Non classifié,INX,,,,,,,,,#NUM!
Irlande,IRL,,"3,93","3,82","3,54","3,943467","3,785793","3,6","3,6","3,785793"
"Iran, République islamique d’",IRN,,"2,69","2,65","2,66",,"2,666667","2,84","2,1","2,6633335"
Iraq,IRQ,,,"2,1","2,19","2,145176","1,970772","1,91","2,2","2,122588"
Islande,ISL,,,"3,14","3,47","3,461539","3,259776","3,61","3,5","3,4657695"
Israël,ISR,,"3,23","3,5",,"3,351191","3,599074","3,39","3,8","3,445"
Italie,ITA,,"3,63","3,74","3,65","3,62495","3,765139","3,66","3,8","3,66"
Jamaïque,JAM,,"2,07","2,32","2,21","2,71574","2,313829","2,54","2,5","2,32"
Jordanie,JOR,,3,"2,49","2,17","2,939394","2,891052","2,55",,"2,720526"
Japon,JPN,,"4,12",4,"3,97","3,931567","3,990233","4,09","4,1",4
Kazakhstan,KAZ,,"2,05","2,6","2,75","2,716356","2,567573","2,58","2,7","2,6"
Kenya,KEN,,"2,31","2,28","2,38","2,652778","3,244339","2,81",,"2,516389"
République kirghize,KGZ,,"2,35","2,37","2,25","2,131777","1,96","2,36","2,2","2,25"
Cambodge,KHM,,"2,47","2,29","2,5","2,666667","2,604865","2,41","2,4","2,47"
Kiribati,KIR,,,,,,,,,#NUM!
Saint-Kitts-et-Nevis,KNA,,,,,,,,,#NUM!
"Corée, République de",KOR,,"3,63","3,64","3,65","3,663521","3,690245","3,59","3,8","3,65"
Koweït,KWT,,3,"3,11","2,68","2,956508","2,78609","2,8","2,9","2,9"
Amérique latine et Caraïbes (hors revenu élevé),LAC,,"2,50375","2,615294118","2,62","2,716621941","2,546385529","2,59125","2,652941176","2,615294118"
République démocratique populaire lao,LAO,,"2,29","2,14","2,49","2,308951","2,095168","2,65","2,4","2,308951"
Liban,LBN,,"2,4","3,73","2,38","2,888889","2,454545","2,47",,"2,4622725"
Libéria,LBR,,2,"2,16","2,46","2,857143","2,07425","2,14","2,4","2,16"
Libye,LBY,,,"2,28","2,25","2,294118","2,49697","2,05","1,9","2,265"
Sainte-Lucie,LCA,,,,,,,,,#NUM!
Amérique latine et Caraïbes,LCN,,"2,522380952","2,621304348","2,640454545","2,729037217","2,603336125","2,592173913","2,688","2,621304348"
Pays les moins avancés: classement de l’ONU,LDC,,"2,27175","2,204571429","2,313529412","2,344116897","2,327268189","2,328157895","2,495833333","2,327268189"
Faible revenu,LIC,,"2,196818182","2,151428571","2,31","2,307352545","2,2794739","2,321363636","2,426666667","2,307352545"
Liechtenstein,LIE,,,,,,,,,#NUM!
Sri Lanka,LKA,,"2,45","2,09","2,8","2,905308",,"2,42","2,7","2,575"
"Revenu intermédiaire, tranche inférieure",LMC,,"2,365116279","2,444210526","2,47275","2,515507286","2,458783238","2,465121951","2,65","2,465121951"
Revenu faible et intermédiaire,LMY,,"2,370909091","2,442772277","2,528019802","2,552067896","2,4881535","2,502403846","2,657831325","2,502403846"
Lesotho,LSO,,"2,2",,"2,42","2,225309","2,164057","2,03",,"2,2"
de dividende tardif démographique,LTE,,"2,622162162","2,765121951","2,788809524","2,8901324","2,80579461","2,832325581","3,025641026","2,80579461"
Lituanie,LTU,,"2,7","2,85","2,91","2,992647","3,492151","2,96","3,6","2,96"
Luxembourg,LUX,,"3,22","3,67","3,82","3,783471","4,01","3,76","3,9","3,783471"
Lettonie,LVA,,"2,94","2,96","2,64","3,209473","3,29218","2,69","3,7","2,96"
"Région administrative spéciale de Macao, Chine",MAC,,,,,,,,,#NUM!
Saint-Martin (fr),MAF,,,,,,,,,#NUM!
Maroc,MAR,,"2,13",,"2,89",,"2,58642","2,49",,"2,53821"
Monaco,MCO,,,,,,,,,#NUM!
Moldova,MDA,,"2,21","2,17","2,15","2,444986","2,477941","2,3","2,8","2,3"
Madagascar,MDG,,2,"2,4","2,8","2,329545","1,927087","2,33","2,2","2,329545"
Maldives,MDV,,,"2,29","2,68","2,791667","2,436842","2,29",,"2,436842"
Afrique du Nord et Moyen-Orient,MEA,,"2,598235294","2,762631579","2,694210526","2,767101056","2,809107211","2,686","2,91875","2,762631579"
Mexique,MEX,,"2,8","3,04","3,02","3,118379","3,138875","3,02",3,"3,02"
Îles Marshall,MHL,,,,,,,,,#NUM!
Revenu intermédiaire,MIC,,"2,420649351","2,51925","2,578536585","2,616160012","2,537839119","2,55097561","2,708823529","2,55097561"
Macédoine du Nord,MKD,,"2,33","2,76","2,66","2,51444","2,357254","2,74","3,2","2,66"
Mali,MLI,,"2,21","2,13",,"2,202778","2,464359","2,45","2,5","2,33"
Malte,MLT,,,"2,89","3,01",3,"2,852381","2,8","3,4","2,945"
Myanmar,MMR,,2,"2,01","2,42","2,071429","2,35842","2,28",,"2,1757145"
Afrique du Nord et Moyen-Orient (hors revenu élevé),MNA,,"2,297","2,53","2,4875","2,4463124","2,465706909","2,385","2,3625","2,4463124"
Monténégro,MNE,,,"2,32","2,35","2,454945","2,311378","2,72","2,8","2,4024725"
