Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
QCL,Cultures et produits animaux,233,Estonie,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,23300,A,Chiffre officiel
QCL,Cultures et produits animaux,748,Eswatini,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,"5520,6",I,Valeur imputée
QCL,Cultures et produits animaux,840,États-Unis d'Amérique,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,19003499,A,Chiffre officiel
QCL,Cultures et produits animaux,231,Éthiopie,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,"48847,9",I,Valeur imputée
QCL,Cultures et produits animaux,643,Fédération de Russie,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,4617338,A,Chiffre officiel
QCL,Cultures et produits animaux,242,Fidji,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,25715,A,Chiffre officiel
QCL,Cultures et produits animaux,246,Finlande,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,138600,A,Chiffre officiel
QCL,Cultures et produits animaux,250,France,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,1143000,A,Chiffre officiel
QCL,Cultures et produits animaux,266,Gabon,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,"4111,4",I,Valeur imputée
QCL,Cultures et produits animaux,270,Gambie,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,"1098,6",I,Valeur imputée
QCL,Cultures et produits animaux,268,Géorgie,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,25000,A,Chiffre officiel
QCL,Cultures et produits animaux,288,Ghana,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,65190,A,Chiffre officiel
QCL,Cultures et produits animaux,300,Grèce,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,235500,A,Chiffre officiel
QCL,Cultures et produits animaux,308,Grenade,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,"421,2",E,Valeur estimée
QCL,Cultures et produits animaux,320,Guatemala,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,342169,A,Chiffre officiel
QCL,Cultures et produits animaux,324,Guinée,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,"14996,9",I,Valeur imputée
QCL,Cultures et produits animaux,226,Guinée équatoriale,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,"260,3",I,Valeur imputée
QCL,Cultures et produits animaux,624,Guinée-Bissau,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,"3076,9",I,Valeur imputée
QCL,Cultures et produits animaux,328,Guyana,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,48945,A,Chiffre officiel
QCL,Cultures et produits animaux,332,Haïti,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,"8753,3",I,Valeur imputée
QCL,Cultures et produits animaux,340,Honduras,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,"243580,7",I,Valeur imputée
QCL,Cultures et produits animaux,348,Hongrie,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,367610,A,Chiffre officiel
QCL,Cultures et produits animaux,184,Îles Cook,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,"16,3",I,Valeur imputée
QCL,Cultures et produits animaux,90,Îles Salomon,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,"284,6",I,Valeur imputée
QCL,Cultures et produits animaux,356,Inde,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,"4641260,1",I,Valeur imputée
QCL,Cultures et produits animaux,360,Indonésie,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,3455498,A,Chiffre officiel
QCL,Cultures et produits animaux,364,Iran (République islamique d'),5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,2106293,A,Chiffre officiel
QCL,Cultures et produits animaux,368,Iraq,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,144702,A,Chiffre officiel
QCL,Cultures et produits animaux,372,Irlande,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,147770,A,Chiffre officiel
QCL,Cultures et produits animaux,352,Islande,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,8997,A,Chiffre officiel
QCL,Cultures et produits animaux,376,Israël,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,541292,A,Chiffre officiel
QCL,Cultures et produits animaux,380,Italie,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,1068500,A,Chiffre officiel
QCL,Cultures et produits animaux,388,Jamaïque,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,125192,A,Chiffre officiel
QCL,Cultures et produits animaux,392,Japon,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,"2342999,8",I,Valeur imputée
QCL,Cultures et produits animaux,400,Jordanie,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,246582,A,Chiffre officiel
QCL,Cultures et produits animaux,398,Kazakhstan,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,"263560,5",A,Chiffre officiel
QCL,Cultures et produits animaux,404,Kenya,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,89450,A,Chiffre officiel
QCL,Cultures et produits animaux,417,Kirghizistan,5510,Production,21121,"Viande, poulet, fraîche ou réfrigérée",2021,2021,tonnes,11069,A,Chiffre officiel
